gomme,eraser
table,table
ciseaux,scissors
calculatrice,calculator
calendrier,calendar
règle,ruler
feuille de papier,sheet of paper,paper,piece of paper
stylo,pen
sac à dos,backpack
horloge,clock
crayon,pencil
porte,door
globe,globe
livre,book
télé,T.V.,television
cahier,notebook
pupitre,student desk,desk
bureau,office desk,chest of drawers,desk
ordinateur,computer
drapeau,flag
chaise,chair
étagère,shelf
cassette,cassette,tape
fenêtre,window
imprimante,printer
corbeille à papier,wastebasket,garbage can,trash can, trash,garbage
poubelle,garbage can,trash can, trash,garbage
papier,paper
morceau de craie,piece of chalk,chalk
devoir,homework assignment,assignment,duty

