clue	inflected stimulus	stimulus
Guillermo ocupo el ? lugar en la competencias de ciclismo.	tercer	tercer(o)
?gane la medalla de bronze y no en primero ni segundo.	tercero	tercer(o)
Si quedas en ? lugar por lo menos recibirás medalla.	tercero	tercer(o)
Quería sólo dos hijos, pero como el esposo tiene mucho dinero ya va en busca del ?	tercero	tercer(o)
Ese edificio tiene tres pisos, y el ? es el mas alto.	tercero	tercer(o)
Este es el ? y penúltimo cuadro de cuatro que compramos.	tercero	tercer(o)
si gané bronce, entonces es por que llegué en ...?	tercero	tercer(o)
? viene despues de segundo	tercero	tercer(o)
El juego se decidió en el ? período.	tercer	tercer(o)
Juan tiene muchos juguetes en su ?.	cuarto	cuarto
Nos vemos al ? para las seis.	cuarto	cuarto
A los estudiantes de tercero no los vamos a poder inscribir cuando pasen al ? nivel.	cuarto	cuarto
Mi ? esta en el segundo piso, y es adonde yo duermo.	cuarto	cuarto
? es despues de tercero	cuarto	cuarto
el hijo que viene después del tercero es el ? hijo	cuarto	cuarto
Cuando quiero ver televisión voy a la sala, pero cuando quiero dormir voy a mi ?	cuarto	cuarto
Tu ? esta tan sucio, no se como duermes allí.	cuarto	cuarto
Tengo varios ? en mi casa.	cuartos	cuarto
El ? candidato era mucho mejor que los tres primeros.	cuarto	cuarto
Este es nuestro ? aniversario, han pasado ya cinco años desde que nos conocimos.	quinto	quinto
Después del cuarto le sigue el ?	quinto	quinto
El ? grado es el ultimo de la escuela primaria.	quinto	quinto
En el ? intento, logró acertar el tiro.	quinto	quinto
después de Enrique Cuarto vino Enrique ?	quinto	quinto
El ? va despues del cuarto.	quinto	quinto
?Estoy entre la tercera y cuarta	?es un número	quinto
Este es el ? balón que se nos va a la casa del vecino. Nunca nos regresó los cuatro anteriores.	quinto	quinto
Aunque solo entregaron medallas a los tres primeros puesto, el cuarto y el ? recibieron un diploma de reconocimiento.	quinto	quinto
? Cuanto más se moja ,más te seca	Toalla	sexto
Mi ? sentido me dice que pronto tendremos problemas	sexto	sexto
Hizo un curso cada año, y después de seis años por más que estudió, nunca pudo pasar del ? curso.	sexto	sexto
Mi hija acaba de terminar el quinto grado, el proximo año va para ? grado.	sexto	sexto
Este es el ? curso, luego sigue el séptimo.	sexto	sexto
?viene despues de quinto	sexto	sexto
El ? sentido es una gran película.	sexto	sexto
? número ordinal entre quinto y séptimo	sexto	sexto
? suena mucho a sexo.	sexto	sexto
En el ? piso no se presentaron problemas; hubo daños hasta el quinto.	sexto	sexto
?despues de sexto y antes de octavo.	séptimo	séptimo
No quiero ser el ? en la fila, prefiero ser el sexto.	séptimo	séptimo
El domingo es el ? día de la semana.	séptimo	séptimo
Mi hijo estaba en el sexto curso, y ahora lo promovieron para el ? curso.	septimo	séptimo
la canción va cayendo en popularidad, la semana pasada estuvo en el sexto puesto y ahora cayó un puesto al ?	séptimo	séptimo
quede en ? justo despues del sexto!	septimo	séptimo
? en una secuencia ocupa el lugar siete	séptimo	séptimo
Entre el octavo y el sexto está el ?	octavo	séptimo
El ? mes es el mejor; en Julio, solo días soleados.	séptimo	séptimo
No te preocupes por quedar en ? lugar, por lo menos no fue el noveno.	octavo	octavo
Todos los estudiantes de séptimo pasaron a ?	octavo	octavo
? significa en el puesto ocho.	octavo	octavo
Cuando cuento cerezos, pierdo la cuenta en el ? y aveces en el noveno.	octavo	octavo
Tres veces a mí?, Es dos veces más de una docena de	?Todavía miro la misma cuando estoy boca abajo	octavo
? El que ocupa el lugar número ocho	octavo	octavo
Los baños del ? piso siempre están mas limpios que los del séptimo piso que está debajo.	octavo	octavo
El ? inversionista fue aceptado después de descartar los siete primeros.	octavo	octavo
Como ? lugar tenemos a la empresa ecológica y como décimo al restaurante.	noveno	noveno
Metió nueve lances libres y con el ? ganamos el juego.	noveno	noveno
? es el primer nivel de la secundaria.	noveno	noveno
que sigue del octavo, pero va antes del décimo?	noveno	noveno
Justo antes del décimo: ?	Justo antes del décimo: noveno.	noveno
? viene despues de octavo	noveno	noveno
el penúltimo de diez es el ?	noveno	noveno
Si a un décimo de loteria le quitas uno, es un ? .	noveno	noveno
Uno es al primer, dos es al segundo y nueve es al ?	noveno	noveno
Del 1 al 10 el 9 es el ? número.	Noveno	noveno
? piso significa que es el piso número diez.	Décimo	décimo
Este es el ? de la canasta, puedo decir que tengo diez.	décimo	décimo
? es el que ocupa el puesto diez	décimo	décimo
el ? puesto es para genesis y el onceavo puesto es para yolanda!	decimo	décimo
Al ? también se le llama billete de loteria.	décimo	décimo
Obtendrá?, Cuando me ? divides con 100	?tener un cero	décimo
En un concurso de 10 participantes, el perdedor está en el ? lugar.	décimo	décimo
?  Después de noveno	décimo	décimo
Este es el ? auto qué compro, los nueve anteriores fueron verdes.	Décimo	décimo
En el ? año finalmente logramos pagar el préstamo; los nueve años anteriores fueron de pagos cumplidos.	décimo	décimo
Hoy me toca hacer ? porque tu vas a ir a trabajar.	los quehaceres domésticos	los quehaceres domésticos
Algunos hombres piensan que ? son sólo las mujeres que los pueden hacer.	los quehaceres domésticos	los quehaceres domésticos
Yo ayudo a mi esposa a hacer ?	los quehaceres domésticos	los quehaceres domésticos
La señora se encarga de ? y así todo queda limpio y organizado.	los quehaceres  domésticos	los quehaceres domésticos
